## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'var_method': 'bootstrap', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 3377400.5}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1411e-03  -5.7636e+00   3.5109e-01   3.1036e-01   2.7000e+01   1.9788e+01   1.9920e+01   2.7000e+01
  3.4843e-03   3.4438e-03  -5.6715e+00   5.6370e-01   2.9688e-01   3.7000e+01   2.3807e+01   2.3694e+01   3.7000e+01
  3.8499e-03   3.8346e-03  -5.5640e+00   5.0447e-01   3.4451e-01   4.3000e+01   2.8613e+01   2.8589e+01   4.3000e+01
  4.2539e-03   4.3001e-03  -5.4495e+00   4.6483e-01   2.8360e-01   5.0000e+01   3.4382e+01   3.4200e+01   5.0000e+01
  4.7002e-03   4.7087e-03  -5.3587e+00   7.6812e-01   3.0743e-01   7.3000e+01   4.1273e+01   4.1285e+01   7.3000e+01
  5.1934e-03   5.1895e-03  -5.2615e+00   3.3117e-01   2.7858e-01   6.6000e+01   4.9532e+01   4.9564e+01   6.6000e+01
  5.7383e-03   5.7342e-03  -5.1617e+00   2.4507e-01   2.6691e-01   7.4000e+01   5.9480e+01   5.9452e+01   7.4000e+01
  6.3404e-03   6.3643e-03  -5.0575e+00   2.7989e-01   2.5874e-01   9.1000e+01   7.1443e+01   7.1224e+01   9.1000e+01
  7.0057e-03   6.9756e-03  -4.9657e+00   1.9580e-01   2.3817e-01   1.0300e+02   8.5830e+01   8.6012e+01   1.0300e+02
  7.7407e-03   7.7719e-03  -4.8577e+00   4.3287e-01   2.4354e-01   1.4800e+02   1.0306e+02   1.0322e+02   1.4800e+02
  8.5529e-03   8.5521e-03  -4.7619e+00   3.3825e-01   2.4849e-01   1.6700e+02   1.2369e+02   1.2443e+02   1.6700e+02
  9.4504e-03   9.4867e-03  -4.6583e+00   3.2334e-01   2.2731e-01   1.9700e+02   1.4837e+02   1.4870e+02   1.9700e+02
  1.0442e-02   1.0445e-02  -4.5620e+00   3.3133e-01   2.4486e-01   2.3700e+02   1.7780e+02   1.7794e+02   2.3700e+02
  1.1538e-02   1.1539e-02  -4.4624e+00   3.1040e-01   2.2508e-01   2.8000e+02   2.1319e+02   2.1351e+02   2.8000e+02
