## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'var_method': 'bootstrap', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 2679612.5}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1496e-03  -5.7607e+00   8.0714e-01   4.0820e-01   2.5000e+01   1.3890e+01   1.3839e+01   2.5000e+01
  3.4843e-03   3.5157e-03  -5.6509e+00   3.7631e-01   4.5484e-01   2.3000e+01   1.6809e+01   1.6742e+01   2.3000e+01
  3.8499e-03   3.8613e-03  -5.5572e+00   5.2492e-01   3.7601e-01   3.1000e+01   2.0329e+01   2.0329e+01   3.1000e+01
  4.2539e-03   4.2933e-03  -5.4511e+00   6.2479e-01   4.2223e-01   4.0000e+01   2.4574e+01   2.4610e+01   4.0000e+01
  4.7002e-03   4.6872e-03  -5.3633e+00   4.2893e-01   3.3945e-01   4.2000e+01   2.9680e+01   2.9475e+01   4.2000e+01
  5.1934e-03   5.2279e-03  -5.2542e+00   5.1671e-01   3.3149e-01   5.4000e+01   3.5829e+01   3.5658e+01   5.4000e+01
  5.7383e-03   5.7686e-03  -5.1558e+00   6.5451e-01   3.3249e-01   7.1000e+01   4.3240e+01   4.2969e+01   7.1000e+01
  6.3404e-03   6.3339e-03  -5.0622e+00   4.3348e-01   3.3318e-01   7.4000e+01   5.2169e+01   5.1777e+01   7.4000e+01
  7.0057e-03   6.9734e-03  -4.9660e+00   5.2167e-01   3.0170e-01   9.5000e+01   6.2912e+01   6.2546e+01   9.5000e+01
  7.7407e-03   7.7584e-03  -4.8594e+00   3.7333e-01   3.0785e-01   1.0300e+02   7.5788e+01   7.5247e+01   1.0300e+02
  8.5529e-03   8.5918e-03  -4.7574e+00   2.0350e-01   2.9205e-01   1.0900e+02   9.1197e+01   9.0819e+01   1.0900e+02
  9.4504e-03   9.4532e-03  -4.6617e+00   2.1762e-01   3.0487e-01   1.3200e+02   1.0964e+02   1.0889e+02   1.3200e+02
  1.0442e-02   1.0500e-02  -4.5568e+00   4.3767e-01   2.8721e-01   1.8800e+02   1.3165e+02   1.3102e+02   1.8800e+02
  1.1538e-02   1.1554e-02  -4.4611e+00   1.9326e-01   2.7710e-01   1.8600e+02   1.5785e+02   1.5667e+02   1.8600e+02
  1.2748e-02   1.2757e-02  -4.3621e+00   1.7753e-01   2.9101e-01   2.2000e+02   1.8896e+02   1.8771e+02   2.2000e+02
  1.4086e-02   1.4100e-02  -4.2620e+00   3.3462e-01   2.9370e-01   2.9900e+02   2.2580e+02   2.2462e+02   2.9900e+02
  1.5564e-02   1.5640e-02  -4.1583e+00   1.2882e-01   2.8819e-01   3.0000e+02   2.6925e+02   2.6728e+02   3.0000e+02
  1.7197e-02   1.7177e-02  -4.0646e+00   9.7142e-02   2.8205e-01   3.4500e+02   3.2021e+02   3.1705e+02   3.4500e+02
