## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'var_method': 'bootstrap', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 4557180.5}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1416e-03  -5.7634e+00   6.3084e-01   3.7737e-01   3.2000e+01   1.9468e+01   1.9593e+01   3.2000e+01
  3.4843e-03   3.4571e-03  -5.6677e+00   9.9675e-01   3.9825e-01   4.7000e+01   2.3574e+01   2.3538e+01   4.7000e+01
  3.8499e-03   3.8687e-03  -5.5552e+00   7.9450e-01   3.1971e-01   5.1000e+01   2.8519e+01   2.8430e+01   5.1000e+01
  4.2539e-03   4.2601e-03  -5.4589e+00   6.2512e-01   3.1149e-01   5.6000e+01   3.4492e+01   3.4465e+01   5.6000e+01
  4.7002e-03   4.6990e-03  -5.3609e+00   4.1566e-01   2.5997e-01   5.9000e+01   4.1680e+01   4.1678e+01   5.9000e+01
  5.1934e-03   5.2027e-03  -5.2591e+00   6.5553e-01   3.2077e-01   8.4000e+01   5.0345e+01   5.0671e+01   8.4000e+01
  5.7383e-03   5.7287e-03  -5.1626e+00   7.4249e-01   3.0510e-01   1.0600e+02   6.0805e+01   6.0829e+01   1.0600e+02
  6.3404e-03   6.3638e-03  -5.0575e+00   6.6881e-01   2.9577e-01   1.2300e+02   7.3440e+01   7.3661e+01   1.2300e+02
  7.0057e-03   7.0364e-03  -4.9570e+00   4.8373e-01   2.9128e-01   1.3200e+02   8.8686e+01   8.8893e+01   1.3200e+02
  7.7407e-03   7.7476e-03  -4.8608e+00   4.9431e-01   2.7638e-01   1.6000e+02   1.0702e+02   1.0706e+02   1.6000e+02
  8.5529e-03   8.5346e-03  -4.7640e+00   2.3514e-01   2.5568e-01   1.6000e+02   1.2906e+02   1.2936e+02   1.6000e+02
  9.4504e-03   9.4571e-03  -4.6614e+00   2.2705e-01   2.5040e-01   1.9200e+02   1.5552e+02   1.5610e+02   1.9200e+02
  1.0442e-02   1.0449e-02  -4.5617e+00   2.5526e-01   2.5503e-01   2.3600e+02   1.8724e+02   1.8772e+02   2.3600e+02
  1.1538e-02   1.1545e-02  -4.4619e+00   2.3836e-01   2.5634e-01   2.8000e+02   2.2524e+02   2.2578e+02   2.8000e+02
  1.2748e-02   1.2779e-02  -4.3604e+00   2.7792e-01   2.5104e-01   3.4800e+02   2.7064e+02   2.7171e+02   3.4800e+02
  1.4086e-02   1.4093e-02  -4.2625e+00   2.1037e-01   2.4418e-01   3.9400e+02   3.2485e+02   3.2526e+02   3.9400e+02
  1.5564e-02   1.5603e-02  -4.1607e+00   1.1983e-01   2.6555e-01   4.3500e+02   3.8933e+02   3.8884e+02   4.3500e+02
  1.7197e-02   1.7200e-02  -4.0633e+00   2.8717e-01   2.4756e-01   6.0100e+02   4.6596e+02   4.6658e+02   6.0100e+02
  1.9001e-02   1.9017e-02  -3.9628e+00   2.3542e-01   2.5936e-01   6.8600e+02   5.5687e+02   5.5589e+02   6.8600e+02
  2.0995e-02   2.1029e-02  -3.8623e+00   6.9621e-02   2.5257e-01   7.1400e+02   6.6569e+02   6.6667e+02   7.1400e+02
  2.3198e-02   2.3213e-02  -3.7634e+00   8.7269e-02   2.5046e-01   8.7300e+02   7.9731e+02   8.0037e+02   8.7300e+02
  2.5632e-02   2.5673e-02  -3.6627e+00   1.5627e-01   2.5364e-01   1.1200e+03   9.5730e+02   9.6385e+02   1.1200e+03
  2.8321e-02   2.8397e-02  -3.5619e+00   2.1685e-01   2.5135e-01   1.4190e+03   1.1507e+03   1.1601e+03   1.4190e+03
  3.1293e-02   3.1366e-02  -3.4625e+00   7.8879e-02   2.3783e-01   1.5050e+03   1.3839e+03   1.3899e+03   1.5050e+03
  3.4576e-02   3.4658e-02  -3.3626e+00   7.1177e-02   2.3583e-01   1.8220e+03   1.6647e+03   1.6841e+03   1.8220e+03
  3.8204e-02   3.8316e-02  -3.2623e+00   6.8216e-02   2.3607e-01   2.1740e+03   2.0021e+03   2.0198e+03   2.1740e+03
  4.2212e-02   4.2305e-02  -3.1633e+00   1.2356e-01   2.3016e-01   2.7420e+03   2.4055e+03   2.4251e+03   2.7420e+03
  4.6642e-02   4.6679e-02  -3.0649e+00   1.2459e-01   2.2497e-01   3.2810e+03   2.8894e+03   2.9052e+03   3.2810e+03
  5.1535e-02   5.1631e-02  -2.9640e+00   1.1383e-01   2.2257e-01   3.8990e+03   3.4678e+03   3.4860e+03   3.8990e+03
  5.6943e-02   5.7085e-02  -2.8636e+00   8.2378e-02   2.1123e-01   4.5800e+03   4.1571e+03   4.1973e+03   4.5800e+03
  6.2917e-02   6.3081e-02  -2.7637e+00   9.5028e-02   2.0800e-01   5.5220e+03   4.9776e+03   5.0133e+03   5.5220e+03
  6.9519e-02   6.9694e-02  -2.6641e+00   9.1943e-02   1.9748e-01   6.5930e+03   5.9657e+03   6.0051e+03   6.5930e+03
  7.6813e-02   7.6989e-02  -2.5645e+00   7.0619e-02   1.8965e-01   7.7120e+03   7.1488e+03   7.1780e+03   7.7120e+03
  8.4873e-02   8.5050e-02  -2.4649e+00   8.6147e-02   1.7841e-01   9.3690e+03   8.5516e+03   8.5920e+03   9.3690e+03
  9.3778e-02   9.3932e-02  -2.3656e+00   4.9809e-02   1.6924e-01   1.0761e+04   1.0205e+04   1.0229e+04   1.0761e+04
  1.0362e-01   1.0380e-01  -2.2657e+00   5.7890e-02   1.6304e-01   1.2939e+04   1.2156e+04   1.2196e+04   1.2939e+04
  1.1449e-01   1.1469e-01  -2.1659e+00   2.5176e-02   1.4912e-01   1.4896e+04   1.4469e+04   1.4500e+04   1.4896e+04
  1.2650e-01   1.2670e-01  -2.0663e+00   3.8433e-02   1.4403e-01   1.7821e+04   1.7233e+04   1.7196e+04   1.7821e+04
  1.3978e-01   1.4007e-01  -1.9660e+00   3.3477e-02   1.3883e-01   2.0996e+04   2.0525e+04   2.0417e+04   2.0996e+04
  1.5444e-01   1.5480e-01  -1.8661e+00   2.7987e-02   1.3498e-01   2.5564e+04   2.4872e+04   2.4870e+04   2.5564e+04
