## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 4551144.5}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1558e-03  -5.7589e+00   3.0860e-01   2.2685e-01   2.5000e+01   1.9441e+01   1.9221e+01   2.5000e+01
  3.4843e-03   3.5193e-03  -5.6498e+00   7.4592e-02   2.0614e-01   2.5000e+01   2.3543e+01   2.3393e+01   2.5000e+01
  3.8499e-03   3.8898e-03  -5.5498e+00   2.7916e-01   1.8741e-01   3.6000e+01   2.8485e+01   2.8266e+01   3.6000e+01
  4.2539e-03   4.2870e-03  -5.4524e+00   3.2172e-01   1.7043e-01   4.5000e+01   3.4443e+01   3.4181e+01   4.5000e+01
  4.7002e-03   4.7098e-03  -5.3586e+00   2.8513e-01   1.5503e-01   5.3000e+01   4.1624e+01   4.1378e+01   5.3000e+01
  5.1934e-03   5.2292e-03  -5.2538e+00   2.0836e-01   1.4106e-01   6.0000e+01   5.0282e+01   4.9903e+01   6.0000e+01
  5.7383e-03   5.7646e-03  -5.1563e+00   2.1259e-01   1.2836e-01   7.3000e+01   6.0720e+01   6.0406e+01   7.3000e+01
  6.3404e-03   6.3496e-03  -5.0598e+00  -4.3555e-02   1.1679e-01   6.9000e+01   7.3347e+01   7.2771e+01   6.9000e+01
  7.0057e-03   6.9916e-03  -4.9635e+00   6.0634e-02   1.0628e-01   9.3000e+01   8.8564e+01   8.8097e+01   9.3000e+01
  7.7407e-03   7.7373e-03  -4.8621e+00   3.0271e-01   9.6748e-02   1.3900e+02   1.0688e+02   1.0676e+02   1.3900e+02
  8.5529e-03   8.5909e-03  -4.7574e+00   1.8404e-01   8.8102e-02   1.5200e+02   1.2889e+02   1.2859e+02   1.5200e+02
  9.4504e-03   9.5081e-03  -4.6560e+00   1.4271e-01   8.0259e-02   1.7800e+02   1.5531e+02   1.5557e+02   1.7800e+02
  1.0442e-02   1.0454e-02  -4.5612e+00   4.1986e-02   7.3143e-02   1.9600e+02   1.8700e+02   1.8758e+02   1.9600e+02
  1.1538e-02   1.1590e-02  -4.4581e+00   1.7475e-01   6.6692e-02   2.6500e+02   2.2493e+02   2.2531e+02   2.6500e+02
  1.2748e-02   1.2747e-02  -4.3629e+00   9.9362e-02   6.0839e-02   3.0100e+02   2.7029e+02   2.7222e+02   3.0100e+02
  1.4086e-02   1.4096e-02  -4.2623e+00   9.0283e-02   5.5533e-02   3.5900e+02   3.2441e+02   3.2706e+02   3.5900e+02
  1.5564e-02   1.5597e-02  -4.1611e+00   4.5298e-02   5.0725e-02   4.1000e+02   3.8882e+02   3.9061e+02   4.1000e+02
  1.7197e-02   1.7208e-02  -4.0628e+00   5.3983e-02   4.6368e-02   4.9800e+02   4.6533e+02   4.6911e+02   4.9800e+02
  1.9001e-02   1.9039e-02  -3.9617e+00   1.3658e-01   4.2413e-02   6.4300e+02   5.5615e+02   5.6160e+02   6.4300e+02
  2.0995e-02   2.1015e-02  -3.8629e+00   1.0773e-01   3.8793e-02   7.4900e+02   6.6481e+02   6.7109e+02   7.4900e+02
  2.3198e-02   2.3229e-02  -3.7628e+00   8.6524e-03   3.5446e-02   8.1600e+02   7.9627e+02   8.0269e+02   8.1600e+02
  2.5632e-02   2.5680e-02  -3.6625e+00   2.6551e-02   3.2348e-02   9.9700e+02   9.5608e+02   9.6385e+02   9.9700e+02
  2.8321e-02   2.8369e-02  -3.5629e+00   9.5389e-02   2.9508e-02   1.2710e+03   1.1490e+03   1.1552e+03   1.2710e+03
  3.1293e-02   3.1347e-02  -3.4630e+00   3.4243e-03   2.6906e-02   1.3950e+03   1.3820e+03   1.3861e+03   1.3950e+03
  3.4576e-02   3.4667e-02  -3.3624e+00   5.3105e-02   2.4530e-02   1.7570e+03   1.6627e+03   1.6657e+03   1.7570e+03
  3.8204e-02   3.8254e-02  -3.2639e+00   7.8468e-02   2.2368e-02   2.1690e+03   1.9996e+03   2.0059e+03   2.1690e+03
  4.2212e-02   4.2253e-02  -3.1645e+00   4.0490e-02   2.0409e-02   2.4890e+03   2.4020e+03   2.3969e+03   2.4890e+03
  4.6642e-02   4.6769e-02  -3.0630e+00   7.2159e-02   1.8620e-02   3.0570e+03   2.8857e+03   2.8672e+03   3.0570e+03
  5.1535e-02   5.1644e-02  -2.9638e+00  -1.3751e-02   1.6997e-02   3.4090e+03   3.4628e+03   3.4597e+03   3.4090e+03
  5.6943e-02   5.7076e-02  -2.8638e+00  -2.9306e-02   1.5522e-02   3.9920e+03   4.1525e+03   4.1331e+03   3.9920e+03
  6.2917e-02   6.3026e-02  -2.7646e+00   3.8304e-02   1.4187e-02   5.1640e+03   4.9707e+03   4.9722e+03   5.1640e+03
  6.9519e-02   6.9659e-02  -2.6646e+00   3.0405e-03   1.2958e-02   5.9290e+03   5.9581e+03   5.9345e+03   5.9290e+03
  7.6813e-02   7.6969e-02  -2.5648e+00   3.2726e-02   1.1837e-02   7.3440e+03   7.1402e+03   7.1253e+03   7.3440e+03
  8.4873e-02   8.5030e-02  -2.4652e+00   5.1470e-02   1.0823e-02   9.0260e+03   8.5416e+03   8.5640e+03   9.0260e+03
  9.3778e-02   9.3941e-02  -2.3655e+00   1.6972e-02   9.9088e-03   1.0432e+04   1.0190e+04   1.0224e+04   1.0432e+04
  1.0362e-01   1.0381e-01  -2.2656e+00   1.8509e-02   9.0782e-03   1.2502e+04   1.2139e+04   1.2208e+04   1.2502e+04
  1.1449e-01   1.1474e-01  -2.1655e+00   7.1147e-03   8.3190e-03   1.4752e+04   1.4456e+04   1.4553e+04   1.4752e+04
  1.2650e-01   1.2665e-01  -2.0667e+00   2.5181e-02   7.6265e-03   1.7831e+04   1.7200e+04   1.7299e+04   1.7831e+04
  1.3978e-01   1.4002e-01  -1.9664e+00   1.5958e-02   6.9846e-03   2.0892e+04   2.0507e+04   2.0536e+04   2.0892e+04
  1.5444e-01   1.5482e-01  -1.8659e+00   2.2686e-02   6.3464e-03   2.5633e+04   2.4839e+04   2.4954e+04   2.5633e+04
  1.7065e-01   1.7099e-01  -1.7665e+00  -1.0503e-02   5.7018e-03   3.0970e+04   3.0773e+04   3.1033e+04   3.0970e+04
  1.8855e-01   1.8887e-01  -1.6671e+00   3.1105e-03   5.1944e-03   3.7709e+04   3.7079e+04   3.7336e+04   3.7709e+04
  2.0834e-01   2.0867e-01  -1.5674e+00   8.4621e-03   4.7974e-03   4.4089e+04   4.3469e+04   4.3595e+04   4.4089e+04
  2.3020e-01   2.3055e-01  -1.4677e+00  -1.0988e-02   4.4336e-03   5.0939e+04   5.0895e+04   5.1197e+04   5.0939e+04
  2.5435e-01   2.5475e-01  -1.3679e+00  -2.2970e-03   4.1057e-03   5.9941e+04   5.9350e+04   5.9714e+04   5.9941e+04
  2.8104e-01   2.8148e-01  -1.2681e+00  -1.7517e-03   3.8217e-03   6.8766e+04   6.8498e+04   6.8692e+04   6.8766e+04
  3.1052e-01   3.1114e-01  -1.1679e+00  -5.0393e-04   3.5365e-03   8.0295e+04   7.9993e+04   8.0164e+04   8.0295e+04
  3.4311e-01   3.4368e-01  -1.0685e+00  -5.1557e-03   3.2404e-03   9.5219e+04   9.5280e+04   9.5495e+04   9.5219e+04
  3.7911e-01   3.7969e-01  -9.6880e-01   9.3948e-04   2.9981e-03   1.1113e+05   1.1130e+05   1.1116e+05   1.1113e+05
  4.1888e-01   4.1944e-01  -8.6925e-01   3.0883e-03   2.8055e-03   1.2695e+05   1.2711e+05   1.2683e+05   1.2695e+05
  4.6284e-01   4.6362e-01  -7.6910e-01   1.0489e-03   2.6327e-03   1.4358e+05   1.4435e+05   1.4389e+05   1.4358e+05
  5.1140e-01   5.1216e-01  -6.6953e-01   1.8142e-04   2.4328e-03   1.6712e+05   1.6903e+05   1.6806e+05   1.6712e+05
  5.6506e-01   5.6617e-01  -5.6927e-01   1.5670e-03   2.2627e-03   1.9584e+05   1.9540e+05   1.9547e+05   1.9584e+05
  6.2435e-01   6.2544e-01  -4.6972e-01  -2.1288e-03   2.1112e-03   2.2667e+05   2.2447e+05   2.2581e+05   2.2667e+05
  6.8986e-01   6.9064e-01  -3.7055e-01   5.7084e-03   1.9592e-03   2.6159e+05   2.6064e+05   2.6037e+05   2.6159e+05
  7.6224e-01   7.6333e-01  -2.7048e-01   8.4297e-04   1.8354e-03   2.9364e+05   2.9698e+05   2.9519e+05   2.9364e+05
  8.4222e-01   8.4320e-01  -1.7096e-01  -3.8599e-03   1.7295e-03   3.2640e+05   3.3445e+05   3.3107e+05   3.2640e+05
  9.3059e-01   9.3175e-01  -7.1104e-02  -9.2661e-03   1.6609e-03   3.5435e+05   3.6265e+05   3.6018e+05   3.5435e+05
  1.0282e+00   1.0284e+00   2.7632e-02  -7.0457e-03   1.6247e-03   3.6843e+05   3.7901e+05   3.7505e+05   3.6843e+05
  1.1361e+00   1.1365e+00   1.2756e-01   2.2085e-03   1.6482e-03   3.6498e+05   3.6830e+05   3.6623e+05   3.6498e+05
  1.2553e+00   1.2551e+00   2.2676e-01   3.9690e-03   1.7244e-03   3.4005e+05   3.3646e+05   3.3759e+05   3.4005e+05
  1.3870e+00   1.3842e+00   3.2474e-01  -6.8703e-03   1.8700e-03   2.8990e+05   2.8609e+05   2.8897e+05   2.8990e+05
  1.5326e+00   1.5277e+00   4.2333e-01   3.7816e-03   2.2237e-03   2.1275e+05   2.0232e+05   2.0715e+05   2.1275e+05
  1.6934e+00   1.6810e+00   5.1898e-01   2.6523e-03   3.0903e-03   1.1012e+05   1.0476e+05   1.0730e+05   1.1012e+05
