## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 4557180.5}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1416e-03  -5.7634e+00   6.3504e-01   2.2670e-01   3.2000e+01   1.9467e+01   1.9552e+01   3.2000e+01
  3.4843e-03   3.4577e-03  -5.6675e+00   1.0380e+00   2.0601e-01   4.8000e+01   2.3574e+01   2.3552e+01   4.8000e+01
  3.8499e-03   3.8687e-03  -5.5553e+00   7.2145e-01   1.8729e-01   4.9000e+01   2.8521e+01   2.8472e+01   4.9000e+01
  4.2539e-03   4.2600e-03  -5.4589e+00   6.5621e-01   1.7032e-01   5.7000e+01   3.4489e+01   3.4429e+01   5.7000e+01
  4.7002e-03   4.6990e-03  -5.3609e+00   4.1052e-01   1.5493e-01   5.9000e+01   4.1679e+01   4.1784e+01   5.9000e+01
  5.1934e-03   5.2027e-03  -5.2591e+00   6.5930e-01   1.4096e-01   8.4000e+01   5.0348e+01   5.0577e+01   8.4000e+01
  5.7383e-03   5.7287e-03  -5.1626e+00   7.4285e-01   1.2827e-01   1.0600e+02   6.0805e+01   6.0818e+01   1.0600e+02
  6.3404e-03   6.3637e-03  -5.0575e+00   6.5777e-01   1.1672e-01   1.2200e+02   7.3437e+01   7.3566e+01   1.2200e+02
  7.0057e-03   7.0364e-03  -4.9570e+00   5.0761e-01   1.0621e-01   1.3400e+02   8.8681e+01   8.8833e+01   1.3400e+02
  7.7407e-03   7.7429e-03  -4.8613e+00   4.6559e-01   9.6682e-02   1.5700e+02   1.0703e+02   1.0710e+02   1.5700e+02
  8.5529e-03   8.5292e-03  -4.7647e+00   2.4685e-01   8.8046e-02   1.6200e+02   1.2906e+02   1.2960e+02   1.6200e+02
  9.4504e-03   9.4551e-03  -4.6617e+00   2.2850e-01   8.0203e-02   1.9200e+02   1.5553e+02   1.5600e+02   1.9200e+02
  1.0442e-02   1.0453e-02  -4.5613e+00   2.6221e-01   7.3096e-02   2.3800e+02   1.8724e+02   1.8807e+02   2.3800e+02
  1.1538e-02   1.1548e-02  -4.4617e+00   2.4070e-01   6.6647e-02   2.8000e+02   2.2524e+02   2.2551e+02   2.8000e+02
  1.2748e-02   1.2790e-02  -4.3595e+00   2.8201e-01   6.0799e-02   3.4900e+02   2.7065e+02   2.7166e+02   3.4900e+02
  1.4086e-02   1.4103e-02  -4.2618e+00   1.9402e-01   5.5497e-02   3.8900e+02   3.2483e+02   3.2541e+02   3.8900e+02
  1.5564e-02   1.5610e-02  -4.1603e+00   1.3849e-01   5.0691e-02   4.4100e+02   3.8934e+02   3.8821e+02   4.4100e+02
  1.7197e-02   1.7188e-02  -4.0640e+00   2.6453e-01   4.6336e-02   5.9000e+02   4.6597e+02   4.6635e+02   5.9000e+02
  1.9001e-02   1.9020e-02  -3.9627e+00   2.5237e-01   4.2386e-02   6.9700e+02   5.5686e+02   5.5666e+02   6.9700e+02
  2.0995e-02   2.1045e-02  -3.8615e+00   6.0663e-02   3.8768e-02   7.0900e+02   6.6566e+02   6.6714e+02   7.0900e+02
  2.3198e-02   2.3205e-02  -3.7638e+00   8.7162e-02   3.5423e-02   8.7100e+02   7.9732e+02   7.9941e+02   8.7100e+02
  2.5632e-02   2.5674e-02  -3.6627e+00   1.5886e-01   3.2326e-02   1.1250e+03   9.5739e+02   9.6515e+02   1.1250e+03
  2.8321e-02   2.8393e-02  -3.5620e+00   2.1107e-01   2.9488e-02   1.4070e+03   1.1505e+03   1.1573e+03   1.4070e+03
  3.1293e-02   3.1337e-02  -3.4634e+00   6.8680e-02   2.6888e-02   1.5010e+03   1.3838e+03   1.3949e+03   1.5010e+03
  3.4576e-02   3.4640e-02  -3.3632e+00   9.0695e-02   2.4513e-02   1.8510e+03   1.6649e+03   1.6825e+03   1.8510e+03
